Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,QC_Correlation,QC_report,blast,panaroo_present
group_12879,sgcC;,Phosphotransferase system galactitol-specific IIC component;PTS transporter subunit IIC;PTS system galactitol-specific IIC component;PTS system protein,400,337,168,236,70.42253521,41.18673647,1.667373181,4.36E-05,1,0.002189589,86,56,61,1.30E-04,0.006673923,0.99074625,GOOD,759,758
serA,serA;,Phosphoglycerate dehydrogenase or related dehydrogenase;D-isomer specific 2-hydroxyacid dehydrogenase catalytic domain-containing protein;D-3-phosphoglycerate dehydrogenase,399,337,169,236,70.24647887,41.18673647,1.6533633,5.74E-05,1,0.002718676,86,56,61,1.30E-04,0.006673923,0.988906164,GOOD,759,757
group_14928,;parB,hypothetical protein;thermonuclease family protein;Putative nuclease ParB,12,1,556,572,2.112676056,99.82547993,12.34532374,0.001668822,1,0.049744062,11,11,1,9.77E-04,0.01171875,0.925025745,INSPECT,12,14
gstA,gstA;,Glutathione S-transferase;glutathione binding-like protein;glutathione S-transferase family protein;Glutathione S-transferase family protein,467,426,101,147,82.21830986,25.65445026,1.595523637,0.001554929,1,0.046899758,79,51,53,0.003183011,0.012812402,0.990030675,GOOD,923,921
group_11970,;cadC1,response regulator;hypothetical protein;DNA-binding winged helix-turn-helix (wHTH) domain;Response regulator;Transmembrane regulator,68,108,500,465,11.97183099,81.15183246,0.585555556,0.001371945,1,0.042596748,55,37,41,3.55E-04,0.014453834,0.996777635,GOOD,184,183
lomR,lomR,Opacity protein LomR and related surface antigens,68,108,500,465,11.97183099,81.15183246,0.585555556,0.001371945,1,0.042596748,55,37,41,3.55E-04,0.014453834,0.996777635,GOOD,184,183
group_9925,NA,Inner membrane protein;hypothetical protein;Membrane protein,68,108,500,465,11.97183099,81.15183246,0.585555556,0.001371945,1,0.042596748,55,37,41,3.55E-04,0.014453834,0.996777635,GOOD,184,183
group_6939,NA,GIY-YIG nuclease family protein;hypothetical protein,256,203,312,370,45.07042254,64.57242583,1.495515978,9.08E-04,1,0.031055055,78,53,50,0.00203114,0.01685309,0.994700802,GOOD,472,473
fucI,;fucI,hypothetical protein;L-fucose isomerase or related protein,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
group_6835,araH,Ribose/xylose/arabinose/galactoside ABC-type transport system permease component,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
rbsA~~~ccmA,rbsA;;ccmA,Ribose import ATP-binding protein RbsA;ATP-binding cassette domain-containing protein;heme ABC exporter ATP-binding protein CcmA,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
group_4927,tktA2,Transketolase C-terminal subunit,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
rpnC,rpnC;,Recombination-promoting DNA endonuclease RpnC/YadD;Transposase (putative) YhgA-like domain-containing protein;Putative transposase YhgA-like protein;Transposase,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
group_2442,tktA1,Transketolase N-terminal subunit,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
deoR,deoR,DNA-binding transcriptional regulator LsrR DeoR family,302,237,266,336,53.16901408,58.63874346,1.609593604,7.05E-05,1,0.003227891,73,47,49,0.004626294,0.018617751,0.994893458,GOOD,558,557
